judet,x,y
Bucuresti,95,-175
Ilfov,93,-154
Giurgiu,78,-223
Prahova,84,-104
Calarasi,156,-200
Ialomita,165,-155
Constanta,284,-199
Tulcea,293,-97
Braila,218,-93
Buzau,128,-61
Vrancea,161,-12
Galati,229,-6
Vaslui,219,78
Iasi,175,160
Botosani,134,237
Suceava,50,200
Neamt,113,125
Bacau,131,58
Covasna,81,1
Harghita,38,77
Brasov,15,-4
Mures,-32,86
Bistrita Nasaud,-40,170
Maramures,-86,220
Salaj,-143,157
Cluj,-122,105
Alba,-131,33
Sibiu,-61,3
Arges,-14,-80
Dambovita,40,-122
Valcea,-73,-83
Satu Mare,-177,217
Bihor,-235,135
Arad,-273,64
Hunedoara,-173,-6
Timis,-307,-6
Caras Severin,-255,-75
Gorj,-145,-102
Mehedinti,-191,-145
Dolj,-130,-204
Olt,-55,-189
Teleorman,21,-223
